period	Columbia	Jefferson City	Springfield	Joplin	Fayetteville-Springdale-Rogers	MO	USA
19950101	100	100	100	100	100	166.2	182.79
19950401	100.73	101.08	100.47	100.18	103.02	168.13	185.77
19950701	101.18	101.7	102.38	104.3	103.1	170.4	188.61
19951001	102.25	101.75	103.14	104.76	103.92	171.87	190.11
19960101	101.79	101.88	105.36	106.08	105.74	173.48	192.26
19960401	104.11	106.13	105.15	105.64	105.96	175.81	192.57
19960701	105.1	108.33	105.32	106.58	105.1	177.17	193.45
19961001	105.76	107.77	105.88	107.99	106.44	179.27	194.94
19970101	105.91	109.92	107.36	110.9	107.11	180.84	196.58
19970401	106.23	110.29	107.16	109.37	108.15	182.5	198.22
19970701	107.55	112.1	108.64	110.79	108.18	184.82	200.95
19971001	108.18	112.24	109.15	111.86	109.87	186.56	203.56
19980101	108.47	111.45	110.5	114.44	110.32	188.25	206.6
19980401	110.31	114.73	111.16	114.65	110.6	190.07	208.46
19980701	111.2	115.72	110.38	115.79	111.33	192.27	211.37
19981001	110.76	115.63	111.81	118.11	112.73	193.95	213.87
19990101	112.05	117.5	112.75	115.84	113.25	196.51	216.13
19990401	113.85	121.09	111.82	118.64	113.22	199.5	219.02
19990701	114.25	121.43	112.14	117.04	113.94	201.78	222.12
19991001	114.27	122.44	111.59	117.26	113.5	203.75	224.42
20000101	115.34	124.21	112.76	119.1	115.12	207.69	228.71
20000401	116.85	125.19	113.35	118.74	116.28	210.24	232.44
20000701	117.89	126.51	114.2	119.63	117.38	213.61	236.65
20001001	118.83	126.96	115.69	121.88	118.85	216.22	240.31
20010101	120.25	128.62	117.21	125.39	122.3	219.88	246.23
20010401	121.57	130.53	118.62	126.43	123.2	223.15	250.35
20010701	122.34	131.06	119.6	128.43	124.42	226.46	254.23
20011001	123.29	130.64	120.85	130.77	125.79	228.72	257.39
20020101	124.56	132.51	121.35	130.66	126.58	232.44	261.1
20020401	125.56	134.01	122.14	129.66	127.85	235.49	265.52
20020701	126.71	134.33	123.45	132.54	129.92	238.37	270.79
20021001	127.04	136.65	125.55	135.23	131.74	241.32	274.65
20030101	128.23	137.42	125.74	136.65	133.14	243.42	277.99
20030401	128.46	136.67	126.14	136.23	134.68	245.15	281.37
20030701	129.56	138.08	127.45	138.4	136.49	248.12	285.67
20031001	132.56	139.93	129.71	138.73	139.86	253.76	293.73
20040101	132.96	141.79	130.31	140.62	142.92	256.81	298.31
20040401	135.21	143.59	131.48	139.98	146.97	260.1	305.56
20040701	139.64	146.55	133.62	143.42	151.14	266.14	317.23
20041001	140.46	147.71	136.08	145.6	155.28	269.83	323.97
20050101	142.77	149.13	137.91	146.91	157.3	274.33	331.43
20050401	145.8	150.71	139.95	147.19	162.95	278.31	342.01
20050701	150.4	152.7	143.2	148.52	167.91	283.32	352.3
20051001	151.72	154.44	145.8	152.16	170.75	286.43	360.27
20060101	152.46	156.12	147.83	152.51	174.33	289.25	366.04
20060401	153.6	156.26	148.98	152.96	175.58	289.75	369.81
20060701	154.7	157.87	151.05	155.18	177.84	292.46	372.91
20061001	157.02	158.33	152.61	157.13	179.08	295.87	376.71
20070101	155.86	159.16	154.73	156.29	178.94	297.44	378.14
20070401	157.89	159.72	154.99	158.51	179.09	297.82	377.91
20070701	156.92	160.93	153.96	156.88	176.39	296.21	373.77
20071001	156	159.41	155.01	156.89	176.33	297.56	372.73
20080101	157.9	162.43	155.55	160.31	175.44	298.02	370.19
20080401	156.76	162.1	153.77	157.28	172.3	294.1	361.09
20080701	156.68	160.89	150.42	155.84	168.18	289.2	349.92
20081001	154.85	161.41	151.32	155.62	167.97	290	346.82
20090101	156.77	162.83	153.04	159.66	168.98	292.35	349.41
20090401	156.03	163.24	151.01	157.21	163.86	287.66	340.13
20090701	154.26	162.12	147.49	155.35	156.72	281	331.16
20091001	154.54	161.29	146.46	156.59	156.14	279.79	328.82
20100101	153.82	160.95	146.58	152.26	152.99	277.54	324.89
20100401	155.14	162.73	145.24	152.44	150.67	275.73	322.05
20100701	155.95	162.84	146.47	154.87	152.77	278.76	325.19
20101001	155.82	163.36	145.1	153.41	151.04	277.01	322.88
20110101	152.9	162.05	140.31	152.71	145.13	270.09	313.99
20110401	152.29	159.67	139.22	150.71	142.69	266.16	308.71
20110701	154.4	162.66	140.03	157.67	146.53	269.84	311.24
20111001	155.73	162.82	141.76	159.23	146.22	271.33	312.73
20120101	155.27	162.97	141.56	159.68	144.84	268.82	309.5
20120401	155.33	163.62	139.91	156.34	144.43	266.73	308.45
20120701	157.04	165.28	141.69	161.8	147.15	269.37	312.42
20121001	158.3	166.08	142.47	161.92	148.83	270.08	314.98
20130101	157.05	166.6	142.47	158.19	150.25	268.64	316.63
20130401	158.98	166.35	143.34	159.32	152.37	269.88	321.78
20130701	158.94	165.66	142.38	158.48	152.63	270.79	327.25
20131001	160.47	165.18	143.26	160.68	155.02	270.23	330.75
20140101	158.05	161.41	142.97	160.67	156.85	271.41	333.69
20140401	161.07	164.27	144.86	161.69	156.56	275.73	341.17
20140701	165.89	168.71	146.71	162.79	161.57	280.06	346.26
20141001	164.39	166.29	146.69	160.42	164.22	281.34	348.88
